epoch,test_acc
0,0.72284
1,0.69327
2,0.7184
3,0.70584
4,0.71397
5,0.74279
6,0.73614
7,0.73392
8,0.7184
9,0.72432
10,0.73466
11,0.73466
12,0.73762
13,0.74575
14,0.74058
15,0.76571
16,0.74797
17,0.7524
18,0.73688
19,0.74723
20,0.73836
21,0.75979
22,0.74205
23,0.75166
24,0.77236
25,0.78418
26,0.74945
27,0.75462
28,0.76497
29,0.73466
30,0.76349
31,0.76275
32,0.76275
33,0.76571
34,0.76127
35,0.7561
36,0.77384
37,0.77605
38,0.75462
39,0.7561
40,0.73614
41,0.75758
42,0.73171
43,0.77605
44,0.74205
45,0.77088
46,0.7694
47,0.73836
48,0.77827
49,0.77753
50,0.75905
51,0.76792
52,0.7731
53,0.77975
54,0.7731
55,0.77088
56,0.77236
57,0.76127
58,0.77605
59,0.76349
60,0.76053
61,0.76275
62,0.76792
63,0.79379
64,0.78418
65,0.76349
66,0.76792
67,0.78862
68,0.76127
69,0.77827
70,0.76053
71,0.77458
72,0.78936
73,0.7524
74,0.77014
75,0.78344
76,0.77827
77,0.79897
78,0.76571
79,0.7997
80,0.76349
81,0.77384
82,0.80783
83,0.78418
84,0.80044
85,0.80488
86,0.78492
87,0.78862
88,0.78418
89,0.80414
90,0.80266
91,0.78344
92,0.77531
93,0.78714
94,0.80931
95,0.78788
96,0.77384
97,0.80636
98,0.78271
99,0.77531
100,0.78492
101,0.79453
102,0.78197
103,0.77901
104,0.78049
105,0.79675
106,0.75092
107,0.78123
108,0.78788
109,0.79527
110,0.81523
111,0.80488
112,0.79749
113,0.79527
114,0.76644
115,0.7901
116,0.79379
117,0.80118
118,0.8034
119,0.78862
120,0.78271
121,0.79749
122,0.80192
123,0.77901
124,0.79305
125,0.79084
126,0.79305
127,0.77975
128,0.78049
129,0.79157
130,0.80562
131,0.77531
132,0.77014
133,0.79453
134,0.79601
135,0.79527
136,0.80783
137,0.80488
138,0.81523
139,0.81005
140,0.78418
141,0.80931
142,0.79527
143,0.79305
144,0.8337
145,0.77901
146,0.78197
147,0.81449
148,0.79305
149,0.79453
