epoch,test_acc
0,0.72284
1,0.69327
2,0.7184
3,0.70658
4,0.71397
5,0.74205
6,0.73392
7,0.73097
8,0.72136
9,0.72284
10,0.73614
11,0.73319
12,0.73836
13,0.74649
14,0.73762
15,0.7694
16,0.74575
17,0.74945
18,0.73614
19,0.75092
20,0.73466
21,0.75979
22,0.74353
23,0.75092
24,0.77088
25,0.78418
26,0.74723
27,0.75536
28,0.76571
29,0.73688
30,0.76423
31,0.76053
32,0.76349
33,0.76127
34,0.75684
35,0.74871
36,0.7731
37,0.77236
38,0.7561
39,0.75684
40,0.73392
41,0.7524
42,0.72801
43,0.77088
44,0.74279
45,0.77088
46,0.76866
47,0.73836
48,0.77458
49,0.77679
50,0.75831
51,0.76349
52,0.7731
53,0.77901
54,0.76866
55,0.75979
56,0.77827
57,0.75831
58,0.77605
59,0.75979
60,0.75018
61,0.75831
62,0.76201
63,0.79084
64,0.78271
65,0.76718
66,0.7694
67,0.78344
68,0.76127
69,0.77901
70,0.75462
71,0.77827
72,0.7901
73,0.75905
74,0.76423
75,0.78418
76,0.77827
77,0.79601
78,0.76644
79,0.80562
80,0.76644
81,0.77088
82,0.80562
83,0.78344
84,0.79749
85,0.80044
86,0.78049
87,0.78418
88,0.78344
89,0.80414
90,0.80488
91,0.78492
92,0.7731
93,0.77827
94,0.80931
95,0.78418
96,0.77531
97,0.80562
98,0.78418
99,0.77753
100,0.78492
101,0.7901
102,0.7864
103,0.77901
104,0.78271
105,0.79084
106,0.75092
107,0.78418
108,0.79084
109,0.79675
110,0.81079
111,0.80414
112,0.79527
113,0.79897
114,0.76127
115,0.78936
116,0.79749
117,0.80192
118,0.8034
119,0.79084
120,0.77753
121,0.79823
122,0.8034
123,0.77162
124,0.79084
125,0.79084
126,0.79527
127,0.78049
128,0.77384
129,0.79453
130,0.80857
131,0.77679
132,0.77014
133,0.79084
134,0.79527
135,0.79601
136,0.7997
137,0.80857
138,0.81449
139,0.80931
140,0.77605
141,0.80783
142,0.79601
143,0.79823
144,0.83592
145,0.78049
146,0.77827
147,0.81005
148,0.79379
149,0.79231
150,0.77753
151,0.80192
152,0.79527
153,0.80931
154,0.79675
155,0.78714
156,0.81005
157,0.80857
158,0.79897
159,0.79379
160,0.80562
161,0.80562
162,0.7731
163,0.80562
164,0.81818
165,0.80118
166,0.79453
167,0.78344
168,0.79231
169,0.7997
170,0.79231
171,0.80414
172,0.79305
173,0.78714
174,0.79527
175,0.82705
176,0.77753
177,0.7731
178,0.79601
179,0.78418
180,0.80636
181,0.80857
182,0.8071
183,0.80044
184,0.80044
185,0.80118
186,0.79527
187,0.8071
188,0.81227
189,0.82188
190,0.82262
191,0.7864
192,0.80118
193,0.79601
194,0.80783
195,0.80931
196,0.7694
197,0.80118
198,0.8034
199,0.7901
200,0.76349
201,0.79305
202,0.8034
203,0.81744
204,0.79157
205,0.79897
206,0.82114
207,0.8034
208,0.81079
209,0.81966
210,0.79157
211,0.7997
212,0.79527
213,0.8167
214,0.79823
215,0.78936
216,0.80783
217,0.75092
218,0.81892
219,0.77605
220,0.79675
221,0.77605
222,0.80783
223,0.79823
224,0.81227
225,0.8071
226,0.78344
227,0.78566
228,0.80562
229,0.80266
230,0.77384
231,0.81449
232,0.81892
233,0.81744
234,0.81449
235,0.78862
236,0.78418
237,0.79305
238,0.79305
239,0.80414
240,0.8167
241,0.79379
242,0.83296
243,0.80636
244,0.7864
245,0.79379
246,0.80488
247,0.80118
248,0.7524
249,0.81227
250,0.80636
251,0.8167
252,0.81079
253,0.80192
254,0.78714
255,0.80044
256,0.81375
257,0.78197
258,0.79675
259,0.79897
260,0.81744
261,0.82705
262,0.80118
263,0.80857
264,0.79601
265,0.82705
266,0.79084
267,0.78714
268,0.80857
269,0.78418
270,0.77531
271,0.79084
272,0.78936
273,0.78936
274,0.81005
275,0.81227
276,0.8071
277,0.80562
278,0.82336
279,0.81079
280,0.81449
281,0.81892
282,0.81079
283,0.81523
284,0.8204
285,0.80857
286,0.82114
287,0.82853
288,0.79453
289,0.79675
290,0.80931
291,0.80857
292,0.81375
293,0.79084
294,0.77975
295,0.81966
296,0.77753
297,0.80266
298,0.79749
299,0.82705
300,0.78862
301,0.81744
302,0.82483
303,0.83296
304,0.80192
305,0.80783
306,0.81818
307,0.81966
308,0.80931
309,0.80857
310,0.81818
311,0.73836
312,0.83518
313,0.81301
314,0.80044
315,0.79084
316,0.78197
317,0.81301
318,0.7694
319,0.81227
320,0.83149
321,0.78271
322,0.77458
323,0.80783
324,0.7901
325,0.81301
326,0.80414
327,0.8034
328,0.77975
329,0.83518
330,0.69549
331,0.81744
332,0.82409
333,0.79231
334,0.7997
335,0.81596
336,0.81449
337,0.80562
338,0.79527
339,0.82114
340,0.81449
341,0.81892
342,0.81818
343,0.82705
344,0.80562
345,0.79823
346,0.82483
347,0.82409
348,0.81375
349,0.81079
350,0.74945
351,0.80931
352,0.80488
353,0.80783
354,0.81153
355,0.77975
356,0.81153
357,0.78418
358,0.80044
359,0.78714
360,0.80192
361,0.80266
362,0.77753
363,0.79157
364,0.79897
365,0.80783
366,0.80783
367,0.8034
368,0.81449
369,0.80783
370,0.81227
371,0.80562
372,0.83222
373,0.79379
374,0.81301
375,0.78418
376,0.83666
377,0.80636
378,0.80414
379,0.76127
380,0.81301
381,0.83075
382,0.73688
383,0.77236
384,0.81301
385,0.79749
386,0.81966
387,0.82114
388,0.80414
389,0.81227
390,0.8071
391,0.77162
392,0.80414
393,0.78714
394,0.82483
395,0.83666
396,0.81966
397,0.81744
398,0.8374
399,0.81005
