epoch,test_acc
0,0.72506
1,0.70806
2,0.7184
3,0.70288
4,0.70658
5,0.72432
6,0.74575
7,0.67775
8,0.70584
9,0.71766
10,0.68145
11,0.72579
12,0.72284
13,0.75166
14,0.67406
15,0.75018
16,0.69919
17,0.69549
18,0.69549
19,0.74058
20,0.73171
21,0.7014
22,0.73466
23,0.72801
24,0.7088
25,0.71027
26,0.71175
27,0.69993
28,0.7391
29,0.69475
30,0.76792
31,0.69254
32,0.67849
33,0.7391
34,0.6881
35,0.69327
36,0.71619
37,0.71249
38,0.67036
39,0.74723
40,0.67554
41,0.72875
42,0.65632
43,0.71619
44,0.70806
45,0.7184
46,0.7354
47,0.68219
48,0.71249
49,0.7051
50,0.73466
51,0.74205
52,0.7014
53,0.74058
54,0.77975
55,0.70953
56,0.71027
57,0.71988
58,0.7088
59,0.72136
60,0.68145
61,0.70806
62,0.69032
63,0.73984
64,0.7221
65,0.73171
66,0.73319
67,0.74279
68,0.73836
69,0.73836
70,0.71323
71,0.73171
72,0.73023
73,0.71249
74,0.71619
75,0.74501
76,0.74427
77,0.78271
78,0.74058
79,0.73614
80,0.70214
81,0.73762
82,0.75314
83,0.74723
84,0.71619
85,0.7731
86,0.73984
87,0.75684
88,0.71027
89,0.74353
90,0.78197
91,0.73319
92,0.74649
93,0.72875
94,0.77236
95,0.76497
96,0.75166
97,0.78123
98,0.75388
99,0.70214
100,0.73319
101,0.75092
102,0.76497
103,0.75979
104,0.75166
105,0.73762
106,0.71988
107,0.72653
108,0.76275
109,0.75684
110,0.77088
111,0.76718
112,0.73319
113,0.74871
114,0.69401
115,0.73392
116,0.73023
117,0.74945
118,0.75536
119,0.72801
120,0.7391
121,0.75979
122,0.73762
123,0.74353
124,0.75018
125,0.76127
126,0.73688
127,0.70067
128,0.76571
129,0.76201
130,0.7731
131,0.7561
132,0.72653
133,0.73392
134,0.72062
135,0.73319
136,0.77901
137,0.73097
138,0.75388
139,0.74575
140,0.73023
141,0.74649
142,0.74723
143,0.76866
144,0.72875
145,0.73392
146,0.6918
147,0.77827
148,0.72949
149,0.7088
